#Image                      Noise
NGC2071_20191101_00018_450_EA3_mjybm_cr_sm.sdf  223.23
NGC2071_20191219_00043_450_EA3_mjybm_cr_sm.sdf  52.31
NGC2071_20200102_00026_450_EA3_mjybm_cr_sm.sdf  55.7
NGC2071_20200124_00028_450_EA3_mjybm_cr_sm.sdf  47.74
NGC2071_20200222_00018_450_EA3_mjybm_cr_sm.sdf  40.99
NGC2071_20200307_00021_450_EA3_mjybm_cr_sm.sdf  52.69
OMC23_20151226_00036_450_EA3_mjybm_cr_sm.sdf  401.36
OMC23_20160116_00019_450_EA3_mjybm_cr_sm.sdf  78.42
OMC23_20160206_00012_450_EA3_mjybm_cr_sm.sdf  71.65
OMC23_20160229_00011_450_EA3_mjybm_cr_sm.sdf  66.07
OMC23_20160325_00015_450_EA3_mjybm_cr_sm.sdf  99.24
OMC23_20160422_00011_450_EA3_mjybm_cr_sm.sdf  124.07
OMC23_20160826_00020_450_EA3_mjybm_cr_sm.sdf  390.15
OMC23_20161126_00052_450_EA3_mjybm_cr_sm.sdf  80.15
OMC23_20170206_00021_450_EA3_mjybm_cr_sm.sdf  382.07
OMC23_20170318_00012_450_EA3_mjybm_cr_sm.sdf  251.83
OMC23_20170421_00022_450_EA3_mjybm_cr_sm.sdf  375.27
OMC23_20170708_00073_450_EA3_mjybm_cr_sm.sdf  70.26
OMC23_20170812_00056_450_EA3_mjybm_cr_sm.sdf  182.85
OMC23_20170912_00054_450_EA3_mjybm_cr_sm.sdf  272.37
OMC23_20171021_00047_450_EA3_mjybm_cr_sm.sdf  163.49
OMC23_20171118_00046_450_EA3_mjybm_cr_sm.sdf  77.05
OMC23_20171224_00046_450_EA3_mjybm_cr_sm.sdf  144.93
OMC23_20180208_00018_450_EA3_mjybm_cr_sm.sdf  180.5
OMC23_20180308_00015_450_EA3_mjybm_cr_sm.sdf  765.37
OMC23_20180906_00015_450_EA3_mjybm_cr_sm.sdf  386.06
OMC23_20181004_00052_450_EA3_mjybm_cr_sm.sdf  421.09
OMC23_20181102_00039_450_EA3_mjybm_cr_sm.sdf  543.63
OMC23_20181203_00055_450_EA3_mjybm_cr_sm.sdf  134.84
OMC23_20190102_00031_450_EA3_mjybm_cr_sm.sdf  209.18
OMC23_20190205_00037_450_EA3_mjybm_cr_sm.sdf  73.93
OMC23_20190310_00014_450_EA3_mjybm_cr_sm.sdf  123.38
OMC23_20190407_00011_450_EA3_mjybm_cr_sm.sdf  138.75
OMC23_20190812_00093_450_EA3_mjybm_cr_sm.sdf  262.67
OMC23_20190909_00061_450_EA3_mjybm_cr_sm.sdf  91.61
OMC23_20191009_00037_450_EA3_mjybm_cr_sm.sdf  283.19
OMC23_20191111_00044_450_EA3_mjybm_cr_sm.sdf  656.83
OMC23_20191219_00036_450_EA3_mjybm_cr_sm.sdf  57.16
OMC23_20200124_00011_450_EA3_mjybm_cr_sm.sdf  47.55
OMC23_20200222_00020_450_EA3_mjybm_cr_sm.sdf  39.6
OPHCORE_20160115_00084_450_EA3_mjybm_cr_sm.sdf  169.0
OPHCORE_20160205_00063_450_EA3_mjybm_cr_sm.sdf  72.09
OPHCORE_20160226_00051_450_EA3_mjybm_cr_sm.sdf  87.73
OPHCORE_20160319_00065_450_EA3_mjybm_cr_sm.sdf  87.73
OPHCORE_20160417_00043_450_EA3_mjybm_cr_sm.sdf  68.61
OPHCORE_20160521_00034_450_EA3_mjybm_cr_sm.sdf  353.11
OPHCORE_20160826_00011_450_EA3_mjybm_cr_sm.sdf  892.06
OPHCORE_20170206_00083_450_EA3_mjybm_cr_sm.sdf  788.72
OPHCORE_20170320_00053_450_EA3_mjybm_cr_sm.sdf  152.38
OPHCORE_20170419_00033_450_EA3_mjybm_cr_sm.sdf  954.01
OPHCORE_20170518_00028_450_EA3_mjybm_cr_sm.sdf  72.84
OPHCORE_20170616_00010_450_EA3_mjybm_cr_sm.sdf  1045.54
OPHCORE_20170715_00011_450_EA3_mjybm_cr_sm.sdf  770.92
OPHCORE_20170812_00017_450_EA3_mjybm_cr_sm.sdf  468.58
OPHCORE_20170912_00014_450_EA3_mjybm_cr_sm.sdf  915.67
OPHCORE_20180116_00077_450_EA3_mjybm_cr_sm.sdf  57.01
OPHCORE_20180310_00041_450_EA3_mjybm_cr_sm.sdf  570.07
OPHCORE_20180427_00012_450_EA3_mjybm_cr_sm.sdf  150.32
OPHCORE_20180614_00024_450_EA3_mjybm_cr_sm.sdf  258.3
OPHCORE_20180910_00010_450_EA3_mjybm_cr_sm.sdf  258.86
